epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,677.473,1.45498,1.44923,1.20758,0.81458,0.57572,0.69879,0.4474,1.23943,0.81271,1.08261,0.00999603,0.00333201,0.00999603,0.00333201,0.00999603,0.00333201,0.00999603,0.00333201
2,1420.48,1.37613,0.97864,1.14675,0.6289,0.70313,0.70056,0.43006,1.24983,0.78134,1.09863,0.0199765,0.00665883,0.0199765,0.00665883,0.0199765,0.00665883,0.0199765,0.00665883
3,2154.76,1.39962,0.96283,1.16051,0.65981,0.70339,0.68578,0.41443,1.2531,0.81021,1.10905,0.0298789,0.00995965,0.0298789,0.00995965,0.0298789,0.00995965,0.0298789,0.00995965
4,2896.23,1.39375,0.9407,1.16652,0.82902,0.59254,0.68945,0.42919,1.23611,0.75658,1.09659,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,3585.43,1.34624,0.87409,1.1446,0.62303,0.73597,0.71373,0.43799,1.20337,0.71319,1.08213,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,4220.27,1.31354,0.83587,1.12749,0.58327,0.74364,0.69468,0.44052,1.19119,0.68981,1.07408,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,4873.73,1.28743,0.80417,1.11382,0.63884,0.77097,0.77309,0.50666,1.16244,0.66093,1.05574,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,5497.38,1.27419,0.78385,1.10328,0.77951,0.70199,0.7683,0.5059,1.15558,0.65991,1.05052,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,6117.38,1.25843,0.76687,1.09804,0.69228,0.75285,0.75812,0.50259,1.14865,0.6437,1.04633,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,6752.31,1.24242,0.75204,1.09,0.6637,0.77983,0.76966,0.51444,1.13214,0.62608,1.03949,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
