frame_nmr,track_id,plate_bbox,det_conf,license_number,license_number_score,ocr_conf,vehicle_type,layout,raw_ocr
1,0,"122,378,259,481",0.927481,,0.0,0.0,,0,
2,0,"122,378,260,481",0.927799,29-A0 399.99,9.807454,0.922982,motorbike,2,29.A0|399.99
3,0,"120,377,259,482",0.928913,,0.0,0.0,,0,
4,0,"119,378,259,482",0.928744,29-A0 399.99,9.695721,0.998289,motorbike,2,29AD|399.99
5,0,"119,378,257,481",0.928013,,0.0,0.0,,0,
6,0,"118,379,256,482",0.926882,29-A0 399.99,9.689427,0.995771,motorbike,2,29-AD|399.99
7,0,"118,379,256,482",0.926932,,0.0,0.0,,0,
8,0,"117,379,256,482",0.925877,29-A0 399.99,9.690942,0.996377,motorbike,2,29-AD|399.99
9,0,"117,379,256,483",0.925713,,0.0,0.0,,0,
10,0,"116,379,255,483",0.92619,29-A0 399.99,9.69054,0.996216,motorbike,2,29-AD|39999
11,0,"114,379,255,484",0.926339,,0.0,0.0,,0,
12,0,"114,379,254,484",0.925341,29-A0 399.99,9.656771,0.982709,motorbike,2,29-AD|399.99
13,0,"114,379,253,484",0.925862,,0.0,0.0,,0,
14,0,"112,379,252,485",0.924984,29-A0 399.99,9.672199,0.98888,motorbike,2,29-AD|399.99
15,0,"113,380,252,485",0.924022,,0.0,0.0,,0,
16,0,"112,379,252,485",0.924038,29-A0 399.99,9.653376,0.981351,motorbike,2,29-AD|399.99
17,0,"109,379,251,485",0.927872,,0.0,0.0,,0,
18,0,"107,379,249,485",0.928204,29-A0 399.99,9.68636,0.994544,motorbike,2,29-AD|399.99
19,0,"107,380,246,486",0.927106,,0.0,0.0,,0,
20,0,"104,380,245,486",0.925515,29-A0 399.99,9.691659,0.996664,motorbike,2,29-AD|399.99
21,0,"103,380,244,486",0.928354,,0.0,0.0,,0,
22,0,"101,380,242,486",0.925896,29-A0 399.99,9.647439,0.978976,motorbike,2,29-AD|399.99
23,0,"100,379,241,486",0.9238,,0.0,0.0,,0,
24,0,"98,380,240,485",0.924694,29-A0 399.99,9.634545,0.973818,motorbike,2,29-AD|399.99
25,0,"97,378,239,485",0.925516,,0.0,0.0,,0,
26,0,"94,378,238,485",0.925692,29-A0 399.99,9.698569,0.999427,motorbike,2,29AD|399.99
27,0,"92,377,236,484",0.92505,,0.0,0.0,,0,
28,0,"91,377,235,484",0.925522,29-A0 399.99,9.68548,0.994192,motorbike,2,29-AD|399.99
29,0,"91,377,233,484",0.924322,,0.0,0.0,,0,
30,0,"88,377,231,484",0.925543,29-A0 399.99,9.660525,0.98421,motorbike,2,29-AD|399.99
31,0,"87,377,229,483",0.928232,,0.0,0.0,,0,
32,0,"83,376,227,483",0.9281,29A-399.99,9.980424,0.99217,car,2,29.A|399.99
33,0,"81,375,225,483",0.925555,,0.0,0.0,,0,
34,0,"78,374,221,483",0.928961,29-A0 599.99,9.645412,0.978165,motorbike,2,29.AD|599.99
35,0,"76,373,218,482",0.930843,,0.0,0.0,,0,
36,0,"73,373,216,481",0.929206,29-A0 399.99,9.692809,0.997124,motorbike,2,29-AD|399.99
37,0,"71,373,214,482",0.926734,,0.0,0.0,,0,
38,0,"66,373,210,482",0.932974,29-A0 399.99,9.69498,0.997992,motorbike,2,29-AD|399.99
39,0,"64,373,208,482",0.934508,,0.0,0.0,,0,
40,0,"62,373,205,483",0.930404,23A-339.99,9.985376,0.99415,car,2,23.A|33999
41,0,"58,374,203,483",0.930032,,0.0,0.0,,0,
42,0,"56,374,198,485",0.929337,29-A0 399.99,9.678848,0.991539,motorbike,2,29.AD|399.99
43,0,"50,374,194,485",0.930817,,0.0,0.0,,0,
44,0,"46,375,189,487",0.930856,29A-399.99,9.963773,0.985509,car,2,29.A|399.99
44,1,"441,329,479,415",0.701719,,0.0,0.0,,0,
45,0,"43,376,185,488",0.931852,,0.0,0.0,,0,
45,1,"437,328,480,415",0.812156,,0.0,0.0,,0,
46,0,"37,377,182,488",0.928465,29-A0 353.99,9.696553,0.998621,motorbike,2,29.AD|353.99
46,1,"433,328,480,417",0.818684,,0.0,0.0,,0,
47,0,"31,377,177,489",0.930287,,0.0,0.0,,0,
47,1,"429,329,480,417",0.851077,,0.0,0.0,,0,
48,0,"26,379,173,491",0.929912,29-A0 399.99,9.689995,0.995998,motorbike,2,29.AD|399.99
48,1,"426,328,480,417",0.894264,,0.0,0.0,,0,
49,0,"22,379,169,493",0.931826,,0.0,0.0,,0,
49,1,"422,327,479,416",0.895207,,0.0,0.0,,0,
50,0,"16,380,165,494",0.925921,29A-399.99,9.977276,0.99091,car,2,29.A|399.99
50,1,"419,328,479,417",0.904146,29F-1122,7.027195,0.730878,car,2,29F|1L22
51,0,"11,381,160,495",0.931535,,0.0,0.0,,0,
51,1,"416,327,479,417",0.9079,,0.0,0.0,,0,
52,0,"6,382,155,495",0.927569,29-A0 391.99,9.475972,0.910389,motorbike,2,29-AD|391.99
52,1,"413,327,479,417",0.911735,,0.0,0.0,,0,
53,0,"3,383,152,497",0.929264,,0.0,0.0,,0,
53,1,"410,326,480,417",0.916571,,0.0,0.0,,0,
54,0,"2,383,146,499",0.928939,29-A0 399.99,9.668728,0.987491,motorbike,2,29-AD|39999
54,1,"406,324,479,417",0.918348,,0.0,0.0,,0,
55,0,"2,384,141,500",0.924862,,0.0,0.0,,0,
55,1,"402,322,479,417",0.919961,,0.0,0.0,,0,
56,0,"1,384,134,499",0.928671,29-A0 399.99,9.610867,0.964347,motorbike,2,29AD|399.99
56,1,"397,320,479,416",0.918654,29Y-125.27,8.937671,0.695068,car,2,29.Y|L2527
57,0,"1,385,129,501",0.93125,,0.0,0.0,,0,
57,1,"392,319,479,417",0.919161,,0.0,0.0,,0,
58,0,"1,385,121,500",0.926174,29-A0 9999,8.085668,0.954267,motorbike,2,29-AD|99.99
58,1,"388,318,479,418",0.921182,29Y-142.57,9.311284,0.724514,car,2,29.Y|14257
59,0,"3,385,113,500",0.925819,,0.0,0.0,,0,
59,1,"383,318,479,419",0.920041,,0.0,0.0,,0,
60,0,"0,386,105,503",0.921701,97-A0 1999,7.367045,0.666818,motorbike,2,9740.|19.99
60,1,"376,318,479,420",0.920316,29-Y1 425.25,9.627851,0.85114,motorbike,2,29-Y1|42525
61,1,"368,319,479,422",0.922302,,0.0,0.0,,0,
61,0,"1,389,95,504",0.913921,,0.0,0.0,,0,
62,1,"362,317,479,426",0.924073,29-Y1 425.75,9.689709,0.875883,motorbike,2,29-Y1|42575
62,0,"1,388,85,507",0.829914,,0.0,0.0,,0,
63,1,"357,322,477,430",0.929485,,0.0,0.0,,0,
64,1,"350,330,473,431",0.927406,29-Y1 425.25,9.555313,0.822125,motorbike,2,29-Y1|42525
65,1,"343,332,465,434",0.931242,,0.0,0.0,,0,
66,1,"338,337,457,438",0.927673,29-Y1 125.75,9.086919,0.754768,motorbike,2,29.Y1|L2575
67,1,"330,342,450,442",0.923025,,0.0,0.0,,0,
68,1,"323,347,444,448",0.933382,29-Y1 425.75,9.857041,0.942817,motorbike,2,29.Y1|425.75
69,1,"317,352,436,451",0.930958,,0.0,0.0,,0,
70,1,"311,357,431,456",0.925924,29-Y1 425.75,9.824739,0.929896,motorbike,2,29-Y1|42575
71,1,"304,362,426,461",0.927775,,0.0,0.0,,0,
72,1,"297,362,422,467",0.924699,29-Y1 425.25,9.724786,0.889915,motorbike,2,29-Y1|42525
73,1,"292,366,416,472",0.925135,,0.0,0.0,,0,
74,1,"288,371,413,475",0.926743,29-Y1 425.75,9.886014,0.954406,motorbike,2,29.Y1|42575
75,1,"284,375,409,478",0.930095,,0.0,0.0,,0,
76,1,"282,382,403,479",0.928588,29-Y1 425.75,9.978746,0.991499,motorbike,2,29-Y1|425.75
77,1,"278,386,400,482",0.926362,,0.0,0.0,,0,
78,1,"274,389,396,485",0.930705,29-Y1 425.75,9.931862,0.972745,motorbike,2,29-Y1|425.75
79,1,"271,394,392,487",0.929923,,0.0,0.0,,0,
80,1,"267,396,389,489",0.925813,29-Y1 425.75,9.700374,0.88015,motorbike,2,29.Y1|425.75
81,1,"264,397,386,490",0.922975,,0.0,0.0,,0,
82,1,"260,398,383,492",0.926339,29-Y1 425.75,9.694446,0.877778,motorbike,2,29-Y1|425.75
83,1,"257,399,381,493",0.929895,,0.0,0.0,,0,
84,1,"256,400,380,493",0.927813,29-Y1 425.75,9.883596,0.953439,motorbike,2,29-Y1|425.75
85,1,"253,399,377,494",0.922502,,0.0,0.0,,0,
86,1,"252,400,376,493",0.918276,29-Y1 425.75,9.845294,0.938118,motorbike,2,29-Y1|425.75
87,1,"248,400,373,493",0.91864,,0.0,0.0,,0,
88,1,"247,400,372,492",0.920016,29-Y1 425.75,9.635878,0.854351,motorbike,2,29-Y1|425.75
89,1,"245,399,369,490",0.922844,,0.0,0.0,,0,
90,1,"243,398,366,488",0.92247,29-Y1 125.25,9.545461,0.938184,motorbike,2,29-Y1|L25.25
91,1,"238,398,362,486",0.928221,,0.0,0.0,,0,
92,1,"236,395,360,486",0.927973,29-Y1 425.75,9.876703,0.950681,motorbike,2,29-Y1|425.75
93,1,"230,392,356,484",0.92258,,0.0,0.0,,0,
94,1,"226,392,351,482",0.922457,29-Y1 425.75,9.779518,0.911807,motorbike,2,29-Y1|425.75
95,1,"224,391,348,481",0.924344,,0.0,0.0,,0,
96,1,"217,391,342,480",0.926849,29-Y1 125.75,9.570437,0.948175,motorbike,2,29-Y1|L25.75
97,1,"213,390,338,479",0.928134,,0.0,0.0,,0,
98,1,"206,389,332,479",0.924912,29-Y1 125.25,9.457648,0.903059,motorbike,2,29-Y1|L25.25
99,1,"202,390,327,479",0.925856,,0.0,0.0,,0,
100,1,"194,391,321,479",0.925274,29-Y1 425.75,9.629576,0.85183,motorbike,2,29-Y1|42575
101,1,"186,389,315,480",0.923101,,0.0,0.0,,0,
102,1,"179,387,308,481",0.92227,23-Y1 425.75,9.844794,0.937918,motorbike,2,23-Y1|425.75
103,1,"173,389,301,479",0.925813,,0.0,0.0,,0,
104,1,"164,389,293,480",0.921916,25-T1 425.75,9.333565,0.733426,motorbike,2,25T1|42575
105,1,"156,388,286,482",0.925192,,0.0,0.0,,0,
106,1,"148,388,278,483",0.925179,29-Y1 425.25,9.757038,0.902815,motorbike,2,29Y1|425.25
107,1,"140,389,271,482",0.924999,,0.0,0.0,,0,
108,1,"136,389,265,481",0.923982,29-Y1 425.25,9.646127,0.858451,motorbike,2,29Y1|42525
109,1,"128,388,258,480",0.922769,,0.0,0.0,,0,
110,1,"118,384,251,481",0.921239,29-T1 252.54,7.88647,0.754588,motorbike,2,29-T1|1425.254
111,1,"110,382,247,481",0.919155,,0.0,0.0,,0,
