epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,732.762,1.45251,1.47427,1.20723,0.68589,0.55447,0.56118,0.35507,1.03628,131.82,0.9132,0.00999608,0.00333203,0.00999608,0.00333203,0.00999608,0.00333203,0.00999608,0.00333203
2,1761.34,1.37879,1.00502,1.14722,0.55834,0.67948,0.58656,0.37089,1.02059,126.152,0.9225,0.0199766,0.00665885,0.0199766,0.00665885,0.0199766,0.00665885,0.0199766,0.00665885
3,2692.91,1.40233,0.98348,1.16238,0.68202,0.56167,0.50405,0.31464,1.05123,113.824,0.94887,0.029879,0.00995967,0.029879,0.00995967,0.029879,0.00995967,0.029879,0.00995967
4,3604.39,1.39081,0.95928,1.16544,0.69127,0.58116,0.54982,0.34144,1.01461,158.548,0.93058,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,4513.98,1.347,0.88916,1.142,0.51967,0.71886,0.58558,0.36678,0.99437,118.288,0.91834,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,5341.72,1.31849,0.84722,1.12572,0.48028,0.72373,0.56672,0.364,0.98591,121.746,0.90956,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,6083.74,1.29227,0.8185,1.11308,0.55374,0.71613,0.5664,0.37488,0.96509,119.112,0.89833,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,6845.75,1.27637,0.79898,1.10487,0.61451,0.75535,0.62987,0.42539,0.95599,119.906,0.89358,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,7633.4,1.25727,0.78047,1.09572,0.55402,0.73642,0.57105,0.37841,0.94855,136.761,0.88877,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,8402.9,1.24489,0.7639,1.08939,0.55354,0.76215,0.60139,0.39873,0.93771,126.72,0.8837,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,9160.18,1.23206,0.74882,1.08297,0.56113,0.76763,0.63647,0.43097,0.92535,133.787,0.87549,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,9920.1,1.22256,0.74001,1.08039,0.53217,0.78987,0.5934,0.40186,0.92451,135.918,0.87542,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,10676.4,1.21327,0.72987,1.07694,0.58029,0.75399,0.60611,0.41639,0.91494,143.176,0.8679,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,11385.8,1.20739,0.72094,1.07014,0.66089,0.72513,0.65786,0.46254,0.91254,134.36,0.87085,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,12066.4,1.19967,0.71264,1.06768,0.6037,0.73876,0.64414,0.44495,0.90921,148.571,0.87081,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,12678,1.19165,0.70841,1.06406,0.61299,0.75881,0.65867,0.46543,0.89721,141.747,0.86198,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,13327.5,1.18143,0.69685,1.06065,0.64189,0.74974,0.65777,0.46237,0.89347,142.45,0.85939,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,13959,1.17568,0.68945,1.05784,0.60677,0.74381,0.6385,0.44296,0.89288,144.756,0.85869,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,14601.8,1.16554,0.68073,1.05267,0.67116,0.75048,0.65815,0.46252,0.89016,149.625,0.85869,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,15286.1,1.16202,0.67743,1.05175,0.65552,0.75229,0.67379,0.48275,0.88536,154.229,0.85611,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,15957.2,1.15797,0.67227,1.0491,0.6675,0.73137,0.67451,0.48431,0.87865,151.416,0.85054,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,16575.1,1.15064,0.66424,1.04659,0.62088,0.75577,0.65695,0.46055,0.87686,154.6,0.85158,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,17233.5,1.14931,0.66288,1.04467,0.67575,0.72771,0.66381,0.47467,0.87235,156.627,0.85027,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,17763.1,1.13866,0.65382,1.0417,0.68202,0.75516,0.67488,0.48249,0.87052,158.091,0.84735,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,18225.3,1.13278,0.64815,1.03743,0.68204,0.76148,0.68691,0.49703,0.86718,154.905,0.84622,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,18681.9,1.12633,0.64027,1.03379,0.68367,0.76873,0.68946,0.50015,0.86579,155.117,0.84544,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,19136.9,1.1235,0.6384,1.03328,0.68442,0.74703,0.68441,0.49092,0.86305,157.35,0.84317,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,19599.4,1.1201,0.63126,1.03192,0.67637,0.76647,0.68095,0.4871,0.86218,160.914,0.84367,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,20060.9,1.10706,0.62505,1.02738,0.66605,0.78054,0.67293,0.4873,0.86178,161.252,0.84366,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,20522.9,1.10013,0.61825,1.02395,0.67203,0.76552,0.67588,0.49082,0.85931,161.989,0.84285,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,20982.8,1.10033,0.61518,1.02365,0.67971,0.76622,0.67728,0.49007,0.85629,163.921,0.84165,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,21442.4,1.10073,0.61065,1.02271,0.6879,0.77826,0.68209,0.4955,0.85537,164.661,0.84012,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,21904.7,1.0909,0.60764,1.01829,0.68668,0.77775,0.68805,0.50463,0.85253,164.65,0.83888,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,22371.8,1.08605,0.60205,1.01734,0.6794,0.78366,0.69072,0.50563,0.85132,164.128,0.83784,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,22839.9,1.08015,0.59718,1.01489,0.67841,0.78878,0.68986,0.50228,0.85012,164.7,0.83682,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,23299.6,1.07501,0.59026,1.01101,0.67615,0.79463,0.68851,0.50049,0.8488,165.81,0.83629,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,23751.8,1.07162,0.58856,1.01264,0.68782,0.76705,0.68626,0.4982,0.84917,166.099,0.83631,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,24205.1,1.07135,0.58687,1.01079,0.67831,0.77008,0.68282,0.4953,0.84905,166.62,0.83617,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,24662.2,1.06429,0.58027,1.00981,0.67283,0.77356,0.68216,0.49718,0.84875,166.909,0.83631,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,25123.4,1.05562,0.57587,1.00597,0.68725,0.76236,0.68153,0.49655,0.84841,167.276,0.83667,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,25623.4,1.06264,0.5457,1.0053,0.68693,0.76389,0.68349,0.49757,0.84866,167.386,0.8372,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,26079.5,1.05383,0.53892,1.0024,0.68813,0.76301,0.68443,0.49978,0.84835,167.478,0.83733,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,26530.9,1.04969,0.53288,1.00076,0.69186,0.76048,0.68477,0.50118,0.84813,167.693,0.83792,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,26980.5,1.04525,0.53059,0.99866,0.68019,0.76885,0.68631,0.50413,0.84798,167.712,0.83804,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,27435.6,1.04148,0.52645,0.9978,0.68643,0.75874,0.68845,0.50536,0.84746,167.921,0.83795,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,27885.3,1.04128,0.52539,0.99909,0.68702,0.76242,0.68946,0.50705,0.84722,168.118,0.83821,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
