epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.108,1.42218,1.08728,1.07252,0.96595,0.37688,0.38954,0.26159,1.18132,54.719,1.06471,0.00033275,0.00033275,0.0670578
2,885.015,1.04261,0.6381,0.9404,0.79711,0.41295,0.41236,0.30683,0.94578,64.313,0.97867,0.000652894,0.000652894,0.0340446
3,1668.43,0.90171,0.54263,0.90236,0.98192,0.38859,0.40298,0.32592,0.79819,69.4427,0.92836,0.000959839,0.000959839,0.00101822
4,2082.72,0.80912,0.4958,0.87846,0.7935,0.41081,0.41486,0.33935,0.72739,66.1151,0.93279,0.0009406,0.0009406,0.0009406
5,2494.25,0.75454,0.46912,0.86585,0.98467,0.38872,0.4124,0.34208,0.69849,63.2262,0.90046,0.0009208,0.0009208,0.0009208
6,2895.84,0.70479,0.43731,0.85488,0.61409,0.47225,0.4191,0.35545,0.62839,53.5898,0.88533,0.000901,0.000901,0.000901
7,3319.83,0.67478,0.41914,0.85026,0.83101,0.40167,0.41177,0.35795,0.5922,19.5843,0.87786,0.0008812,0.0008812,0.0008812
8,3731.39,0.65621,0.41038,0.84655,0.63296,0.39729,0.41145,0.35605,0.6077,10.2111,0.87821,0.0008614,0.0008614,0.0008614
9,4637.56,0.63435,0.39901,0.84323,0.41539,0.50766,0.41734,0.36343,0.5856,3.69229,0.87541,0.0008416,0.0008416,0.0008416
10,5049.92,0.61874,0.38636,0.8395,0.58534,0.43036,0.43259,0.36977,0.54889,8.75507,0.87045,0.0008218,0.0008218,0.0008218
11,5481.26,0.58961,0.37298,0.83299,0.6474,0.46054,0.43113,0.37045,0.54457,4.29674,0.87175,0.000802,0.000802,0.000802
12,6286.48,0.58503,0.36349,0.83331,0.60114,0.4316,0.41239,0.36977,0.51894,3.17511,0.86366,0.0007822,0.0007822,0.0007822
13,6747.99,0.57281,0.36026,0.83163,0.5902,0.41118,0.43349,0.37841,0.5127,5.26259,0.86341,0.0007624,0.0007624,0.0007624
14,7322.78,0.56338,0.34934,0.82931,0.63274,0.4747,0.42706,0.37856,0.50263,10.6417,0.86161,0.0007426,0.0007426,0.0007426
15,7779.43,0.56415,0.34174,0.83067,0.41588,0.4747,0.41603,0.37742,0.48194,5.30728,0.85284,0.0007228,0.0007228,0.0007228
16,8251.16,0.54677,0.33828,0.82697,0.60828,0.41601,0.42277,0.38021,0.48469,0.71883,0.85668,0.000703,0.000703,0.000703
17,8648.3,0.54055,0.3338,0.82598,0.63844,0.46816,0.44163,0.38194,0.47783,7.16929,0.85344,0.0006832,0.0006832,0.0006832
