epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.669,1.02917,3.32168,1.36774,0.01491,0.88066,0.26076,0.20029,0.9539,3.79798,1.33179,0.0003636,0.0003636,0.0003636
2,521.606,1.23367,2.86361,1.54556,0.37245,0.37967,0.31369,0.17983,1.37732,3.35985,1.8271,0.000719401,0.000719401,0.000719401
3,785.162,1.2964,2.65221,1.58696,0.21025,0.34495,0.22306,0.1222,1.50631,3.45873,1.96155,0.00106054,0.00106054,0.00106054
4,954.001,1.31418,2.58334,1.58749,0.14808,0.37621,0.20965,0.12012,1.50516,4.34253,2.03421,0.00104501,0.00104501,0.00104501
5,1102.47,1.27536,2.46687,1.57384,0.25263,0.29641,0.19278,0.10506,1.51906,3.26044,1.92751,0.00102301,0.00102301,0.00102301
6,1349.62,1.2959,2.41379,1.54572,0.17666,0.40971,0.22829,0.12274,1.60729,3.40086,1.95426,0.00100101,0.00100101,0.00100101
7,1597.11,1.30878,2.41538,1.56629,0.17438,0.42357,0.23571,0.13024,1.41133,3.22514,1.76087,0.000979013,0.000979013,0.000979013
8,1845,1.28277,2.31356,1.55872,0.33108,0.40173,0.27925,0.17607,1.37393,2.84099,1.78146,0.000957015,0.000957015,0.000957015
9,2092.62,1.24984,2.24854,1.546,0.39635,0.41861,0.38288,0.23332,1.42621,2.59239,1.84245,0.000935018,0.000935018,0.000935018
10,2340.33,1.25381,2.1913,1.53218,0.32884,0.46604,0.35941,0.22903,1.3778,2.75028,1.79006,0.00091302,0.00091302,0.00091302
11,2588.64,1.22922,2.19065,1.51711,0.38926,0.39235,0.33509,0.23112,1.3076,2.74966,1.69406,0.000891022,0.000891022,0.000891022
12,2836.34,1.187,2.0079,1.48004,0.3132,0.47636,0.32949,0.18256,1.38209,2.74009,1.75296,0.000869024,0.000869024,0.000869024
13,3085.04,1.20037,2.02014,1.465,0.35961,0.45691,0.3741,0.25071,1.25645,2.42358,1.59735,0.000847026,0.000847026,0.000847026
14,3332.94,1.17203,1.98611,1.44872,0.55728,0.4058,0.48932,0.33106,1.27601,2.15624,1.58756,0.000825029,0.000825029,0.000825029
15,3580.48,1.13469,1.87094,1.41243,0.58574,0.44762,0.48881,0.32787,1.32919,2.20076,1.65501,0.000803031,0.000803031,0.000803031
16,3828.19,1.12875,1.94381,1.4144,0.45596,0.42981,0.43966,0.3014,1.17753,2.21268,1.52727,0.000781033,0.000781033,0.000781033
17,4075.57,1.1141,1.83548,1.40627,0.41656,0.49026,0.48075,0.3071,1.26432,2.25256,1.61002,0.000759035,0.000759035,0.000759035
18,4323.61,1.11723,1.84522,1.4229,0.53099,0.49057,0.51209,0.35631,1.21006,2.13685,1.56723,0.000737037,0.000737037,0.000737037
19,4571.39,1.09917,1.74351,1.42296,0.5453,0.51775,0.48763,0.34088,1.26709,2.06714,1.60517,0.00071504,0.00071504,0.00071504
20,4817.43,1.10618,1.73282,1.40336,0.43963,0.53532,0.46907,0.33671,1.21629,2.14918,1.54539,0.000693042,0.000693042,0.000693042
21,5062.99,1.0923,1.65443,1.39133,0.58462,0.56214,0.50172,0.33797,1.2192,2.0968,1.599,0.000671044,0.000671044,0.000671044
22,5307.65,1.06606,1.61092,1.38116,0.59324,0.48539,0.53635,0.38345,1.18973,1.95022,1.52048,0.000649046,0.000649046,0.000649046
23,5552.78,1.08424,1.61169,1.37757,0.62427,0.45301,0.53374,0.39934,1.15034,1.9314,1.48729,0.000627048,0.000627048,0.000627048
24,5797.3,1.04775,1.53519,1.34285,0.58918,0.50139,0.54888,0.38791,1.2003,1.81464,1.52825,0.000605051,0.000605051,0.000605051
25,6045.48,1.03724,1.52175,1.35298,0.62881,0.49638,0.57026,0.41556,1.12479,1.79343,1.49274,0.000583053,0.000583053,0.000583053
26,6290.63,1.00942,1.49045,1.32831,0.60828,0.53864,0.56187,0.38089,1.23205,1.86899,1.6049,0.000561055,0.000561055,0.000561055
27,6535.78,1.00985,1.50278,1.33045,0.60858,0.51903,0.57187,0.41523,1.14855,1.77923,1.49868,0.000539057,0.000539057,0.000539057
28,6781.82,0.96918,1.43509,1.30259,0.65525,0.51785,0.57434,0.42548,1.11318,1.72119,1.47436,0.000517059,0.000517059,0.000517059
29,7027.2,1.01868,1.42145,1.33697,0.66245,0.504,0.59689,0.44157,1.11087,1.66037,1.47115,0.000495062,0.000495062,0.000495062
30,7272.91,0.98769,1.40868,1.32646,0.59928,0.57142,0.58845,0.43117,1.15725,1.75137,1.50114,0.000473064,0.000473064,0.000473064
31,7517.18,0.96543,1.34018,1.30535,0.63567,0.53736,0.60629,0.44586,1.1278,1.69726,1.50172,0.000451066,0.000451066,0.000451066
32,7762.04,1.0066,1.31815,1.30931,0.75142,0.44916,0.57106,0.41199,1.1584,1.67187,1.49372,0.000429068,0.000429068,0.000429068
33,8005.34,0.98088,1.35714,1.30075,0.63318,0.57778,0.62516,0.44729,1.16913,1.62268,1.51378,0.00040707,0.00040707,0.00040707
34,8248.41,0.93794,1.27999,1.28084,0.66577,0.51594,0.59113,0.42714,1.12859,1.67599,1.47134,0.000385073,0.000385073,0.000385073
35,8491.99,0.96462,1.28823,1.29465,0.6288,0.51977,0.58316,0.43175,1.12225,1.63312,1.47781,0.000363075,0.000363075,0.000363075
36,8734.34,0.93621,1.23851,1.28324,0.66794,0.51572,0.60142,0.44487,1.14485,1.63746,1.49815,0.000341077,0.000341077,0.000341077
37,8977.27,0.90161,1.21603,1.26973,0.54809,0.58299,0.59205,0.447,1.06942,1.6203,1.41839,0.000319079,0.000319079,0.000319079
38,9183.99,0.89334,1.18631,1.26175,0.65359,0.61146,0.64698,0.48848,1.07648,1.53146,1.42464,0.000297081,0.000297081,0.000297081
39,9318.81,0.8878,1.15934,1.24664,0.65252,0.61039,0.6486,0.48876,1.06921,1.52189,1.43366,0.000275084,0.000275084,0.000275084
40,9454.41,0.86626,1.11773,1.22022,0.74541,0.5103,0.62703,0.47792,1.0625,1.53837,1.41113,0.000253086,0.000253086,0.000253086
41,9589.35,0.84176,1.15278,1.20696,0.63579,0.63627,0.65306,0.49076,1.06952,1.55686,1.41956,0.000231088,0.000231088,0.000231088
42,9722.4,0.78151,1.08643,1.18103,0.68336,0.58406,0.65039,0.49638,1.04531,1.5466,1.41573,0.00020909,0.00020909,0.00020909
