epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1571,0,40.5282,0,0,0,0,0,0,21.875,0,3e-06,3e-06,0.097003
2,17.0564,0,40.5202,0,0,0,0,0,0,21.875,0,6.8845e-06,6.8845e-06,0.0930069
3,17.729,0,36.382,0,0,0,0,0,0,21.7344,0,1.0637e-05,1.0637e-05,0.0890106
4,18.534,0,25.7549,0,0,0,0,0,0,6.25,0,1.42575e-05,1.42575e-05,0.0850143
5,19.2576,0,18.4905,0,0,0,0,0,0,3.125,0,1.7746e-05,1.7746e-05,0.0810177
6,20.0205,0,14.5573,0,0,0,0,0,0,3.125,0,2.11025e-05,2.11025e-05,0.0770211
7,20.7285,0,11.6182,0,0,0,0,0,0,3.125,0,2.4327e-05,2.4327e-05,0.0730243
8,21.4943,0,10.0408,0,0,0,0,0,0,3.125,0,2.74195e-05,2.74195e-05,0.0690274
9,22.2102,0,9.18478,0,0,0,0,0,0,3.125,0,3.038e-05,3.038e-05,0.0650304
10,22.9218,0,7.77979,0,0,0,0,0,0,3.125,0,3.32085e-05,3.32085e-05,0.0610332
11,23.6745,0,7.25769,0,0,0,0,0,0,3.125,0,3.5905e-05,3.5905e-05,0.0570359
12,24.3383,0,6.55558,0,0,0,0,0,0,3.125,0,3.84695e-05,3.84695e-05,0.0530385
13,25.1049,0,6.17045,0,0,0,0,0,0,3.125,0,4.0902e-05,4.0902e-05,0.0490409
14,25.842,0,5.65571,0,0,0,0,0,0,3.125,0,4.32025e-05,4.32025e-05,0.0450432
15,26.5326,0,5.65359,0,0,0,0,0,0,3.05664,0,4.5371e-05,4.5371e-05,0.0410454
16,27.256,0,5.02349,0,0,0,0,0,0,3.05664,0,4.74075e-05,4.74075e-05,0.0370474
17,27.9493,0,5.02354,0,0,0,0,0,0,3.05664,0,4.9312e-05,4.9312e-05,0.0330493
18,28.6835,0,5.02197,0,0,0,0,0,0,0.71289,0,5.10845e-05,5.10845e-05,0.0290511
19,29.371,0,4.61629,0,0,0,0,0,0,0.71289,0,5.2725e-05,5.2725e-05,0.0250527
20,30.0912,0,4.61798,0,0,0,0,0,0,0.71289,0,5.42335e-05,5.42335e-05,0.0210542
21,30.8506,0,4.61624,0,0,0,0,0,0,0.71289,0,5.561e-05,5.561e-05,0.0170556
22,31.5864,0,4.52656,0,0,0,0,0,0,0.36523,0,5.68545e-05,5.68545e-05,0.0130569
23,32.293,0,4.40405,0,0,0,0,0,0,0.36523,0,5.7967e-05,5.7967e-05,0.00905797
24,33.0044,0,4.40918,0,0,0,0,0,0,0.36523,0,5.89475e-05,5.89475e-05,0.00505895
25,33.7184,0,4.40793,0,0,0,0,0,0,0.36523,0,5.9796e-05,5.9796e-05,0.0010598
26,34.4484,0,4.39994,0,0,0,0,0,0,0.26562,0,5.875e-05,5.875e-05,5.875e-05
27,35.1925,0,4.38546,0,0,0,0,0,0,0.26562,0,5.71e-05,5.71e-05,5.71e-05
28,35.8839,0,4.38455,0,0,0,0,0,0,0.26562,0,5.545e-05,5.545e-05,5.545e-05
29,36.5753,0,4.38612,0,0,0,0,0,0,0.26562,0,5.38e-05,5.38e-05,5.38e-05
30,37.3006,0,4.37683,0,0,0,0,0,0,0.23633,0,5.215e-05,5.215e-05,5.215e-05
31,37.9907,0,4.36431,0,0,0,0,0,0,0.23633,0,5.05e-05,5.05e-05,5.05e-05
32,38.6868,0,4.36576,0,0,0,0,0,0,0.23633,0,4.885e-05,4.885e-05,4.885e-05
33,39.3887,0,4.36525,0,0,0,0,0,0,0.23633,0,4.72e-05,4.72e-05,4.72e-05
