epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.54,1.42685,1.09849,1.0822,0.9695,0.38316,0.40418,0.27304,1.15201,inf,1.05643,0.00033275,0.00033275,0.0670578
2,403.096,1.0301,0.62614,0.93803,0.98303,0.38536,0.39961,0.30682,0.93021,67.9527,0.9669,0.000652894,0.000652894,0.0340446
3,631.006,0.88492,0.53112,0.8988,0.78777,0.42729,0.42101,0.33058,0.82264,56.8734,0.94583,0.000959839,0.000959839,0.00101822
4,956.069,0.8144,0.49467,0.87999,0.90467,0.39315,0.42047,0.34325,0.70947,56.9588,0.90647,0.0009406,0.0009406,0.0009406
5,1264.88,0.75368,0.46257,0.86681,0.60199,0.42767,0.41423,0.34766,0.68672,60.107,0.90496,0.0009208,0.0009208,0.0009208
6,1517.54,0.74362,0.45834,0.86378,0.5944,0.40917,0.4008,0.32594,0.77016,inf,0.93045,0.000901,0.000901,0.000901
7,1775.67,0.75542,0.46572,0.86763,0.98511,0.38733,0.421,0.34784,0.70286,60.1996,0.9033,0.0008812,0.0008812,0.0008812
8,2078.56,0.68439,0.42968,0.85172,0.98784,0.39283,0.411,0.35843,0.59292,57.5777,0.88527,0.0008614,0.0008614,0.0008614
9,2344.23,0.64445,0.40425,0.84321,0.40973,0.43037,0.42524,0.36462,0.55737,24.8755,0.87146,0.0008416,0.0008416,0.0008416
10,2617.56,0.62837,0.39781,0.84077,0.82077,0.44066,0.43226,0.37429,0.54589,19.1048,0.8696,0.0008218,0.0008218,0.0008218
11,2869.94,0.61401,0.3828,0.83879,0.99334,0.3913,0.41393,0.36476,0.56734,16.6554,0.87628,0.000802,0.000802,0.000802
12,3135.91,0.60018,0.37705,0.83531,0.39562,0.43525,0.41124,0.36709,0.52136,0.94097,0.86045,0.0007822,0.0007822,0.0007822
