epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1089.55,1.48167,1.41035,1.20844,0.76123,0.73492,0.78946,0.47386,1.26772,0.83061,1.08772,0.00999608,0.00333203,0.00999608,0.00333203,0.00999608,0.00333203,0.00999608,0.00333203
2,1621.04,1.39165,0.95847,1.14053,0.79698,0.75529,0.8079,0.49518,1.24851,0.73842,1.0848,0.0199765,0.00665885,0.0199765,0.00665885,0.0199765,0.00665885,0.0199765,0.00665885
3,2110.69,1.40919,0.9346,1.15473,0.78932,0.74522,0.8037,0.48705,1.2946,0.77802,1.1027,0.029879,0.00995967,0.029879,0.00995967,0.029879,0.00995967,0.029879,0.00995967
4,2545.87,1.40293,0.91576,1.15934,0.80436,0.7783,0.82901,0.52036,1.23296,0.71237,1.08711,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,2984.34,1.36118,0.85543,1.13722,0.8101,0.77785,0.82787,0.52322,1.21654,0.69287,1.08609,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,3424.27,1.3235,0.81163,1.11937,0.83314,0.79306,0.84496,0.5372,1.18754,0.66276,1.06467,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,3863.85,1.30081,0.78632,1.10723,0.8279,0.79656,0.84539,0.54223,1.18341,0.64365,1.05895,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,4302.37,1.27895,0.76538,1.09684,0.83994,0.78985,0.85322,0.55077,1.16723,0.63135,1.04931,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,4739.78,1.26588,0.74955,1.09081,0.83975,0.80075,0.86114,0.56053,1.15581,0.62696,1.04111,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,5180.26,1.25364,0.73576,1.08349,0.83357,0.80617,0.85068,0.55638,1.14422,0.62278,1.04021,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,5622.59,1.24126,0.72459,1.07918,0.84293,0.8114,0.86384,0.56653,1.13804,0.61084,1.03663,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,6066.6,1.2326,0.71554,1.07399,0.85008,0.80204,0.86681,0.57028,1.13397,0.61254,1.03537,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,6500.59,1.22127,0.70249,1.0685,0.84066,0.81011,0.8656,0.57654,1.12403,0.6105,1.02745,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,6935.76,1.21444,0.69664,1.06426,0.84632,0.80947,0.86604,0.57506,1.11858,0.60373,1.03024,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,7372.67,1.20661,0.68825,1.06245,0.85103,0.81183,0.8692,0.57746,1.11017,0.59183,1.02008,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,7830.16,1.20097,0.68031,1.06126,0.84697,0.81789,0.87173,0.5839,1.1024,0.58302,1.01919,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,8292.18,1.19633,0.67736,1.05826,0.85742,0.81636,0.87442,0.58608,1.10222,0.58314,1.01866,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,8730,1.18838,0.66921,1.05403,0.85252,0.81955,0.87193,0.58508,1.10206,0.58607,1.01778,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,9171,1.18241,0.66209,1.05076,0.86151,0.82199,0.87864,0.59066,1.09714,0.57019,1.01401,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,9608.44,1.1754,0.65739,1.04859,0.85886,0.81745,0.8734,0.58654,1.09141,0.56927,1.01384,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,10045.3,1.171,0.65249,1.04516,0.85697,0.82712,0.88,0.59353,1.0915,0.56389,1.01327,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,10482.2,1.16346,0.6445,1.04186,0.84976,0.82977,0.87553,0.59181,1.08622,0.56099,1.01142,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,10937.4,1.15517,0.63868,1.03858,0.8604,0.82271,0.87537,0.59302,1.08053,0.56491,1.00895,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,11373.4,1.14963,0.63559,1.03923,0.8558,0.82509,0.87568,0.59452,1.07828,0.56831,1.00798,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,11809.3,1.1472,0.63053,1.03495,0.8536,0.8351,0.87811,0.59701,1.07481,0.5559,1.00537,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,12248.3,1.13938,0.62496,1.03015,0.86593,0.82694,0.87719,0.59626,1.07452,0.55769,1.00398,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,12684.3,1.13121,0.61854,1.02991,0.86658,0.82885,0.87971,0.59912,1.0724,0.55664,1.00574,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,13120,1.12875,0.61273,1.02877,0.85637,0.83314,0.87788,0.59871,1.07182,0.55973,1.00471,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,13558.9,1.12184,0.60753,1.02664,0.85719,0.83415,0.87897,0.60065,1.06795,0.55719,1.0028,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,13998.6,1.11507,0.60092,1.02187,0.86244,0.82982,0.88044,0.60304,1.06365,0.55736,1.00038,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,14438.1,1.11223,0.5977,1.02069,0.85859,0.83503,0.88143,0.60344,1.06311,0.5515,1.00032,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,14880.3,1.10686,0.59451,1.01787,0.86165,0.83436,0.8801,0.60274,1.06165,0.54991,0.99988,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,15362,1.10302,0.58928,1.01599,0.86259,0.83176,0.87973,0.60302,1.06005,0.55101,0.99903,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,15811.8,1.10178,0.58888,1.01546,0.85661,0.83981,0.87975,0.6038,1.05943,0.55156,0.99865,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,16249.2,1.09525,0.58323,1.0154,0.86323,0.83466,0.8794,0.60337,1.05887,0.55014,0.99868,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,16683.6,1.09144,0.57818,1.01171,0.86272,0.83586,0.87883,0.60334,1.05681,0.54968,0.99785,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,17118.2,1.0807,0.57193,1.00749,0.8654,0.83493,0.87914,0.60384,1.05547,0.54959,0.99722,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,17556.8,1.08048,0.57056,1.00664,0.86247,0.83764,0.87889,0.60384,1.05469,0.54925,0.99668,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,17995.6,1.07661,0.56648,1.00675,0.86037,0.83838,0.87896,0.60408,1.05398,0.54878,0.99661,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,18432.1,1.07412,0.56414,1.00459,0.86457,0.8357,0.87893,0.60451,1.05331,0.54836,0.9965,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,18911.8,1.07784,0.53274,1.00618,0.86661,0.83421,0.87882,0.60493,1.05308,0.54661,0.99641,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,19335.7,1.06935,0.52699,1.00528,0.86302,0.83766,0.87875,0.60565,1.05235,0.5461,0.99628,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,19755.4,1.06342,0.52143,1.00238,0.86371,0.83735,0.87872,0.60531,1.0519,0.54605,0.99647,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,20172.7,1.05704,0.51794,1.00047,0.86603,0.83582,0.87944,0.60582,1.05154,0.54609,0.99639,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,20592.4,1.05573,0.51645,1.00003,0.86231,0.8396,0.87892,0.60587,1.05122,0.546,0.99653,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,21009.4,1.0533,0.51388,0.99893,0.86431,0.83795,0.87879,0.60584,1.0508,0.54604,0.99644,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,21429.4,1.05034,0.51195,0.9969,0.86504,0.83746,0.87877,0.60584,1.05064,0.5459,0.99647,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,21846.4,1.04771,0.50992,0.99781,0.86568,0.83634,0.87876,0.60625,1.05044,0.54617,0.99648,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,22281.1,1.04669,0.50873,0.99857,0.86572,0.83662,0.87809,0.60631,1.0504,0.54663,0.99651,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,22719.1,1.04453,0.5072,0.99607,0.86661,0.83638,0.87797,0.60618,1.05033,0.54666,0.99665,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
