epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.278,0.87881,0.76193,0.95865,0.91814,0.94175,0.94726,0.72104,0.82535,0.65165,0.90792,0.000332282,0.000332282,0.0671041
2,872.045,0.8515,0.5771,0.95486,0.96705,0.95469,0.98024,0.71805,0.89463,0.54701,0.90736,0.000657378,0.000657378,0.0340959
3,1340.43,0.84099,0.54296,0.95115,0.96724,0.95543,0.97621,0.76463,0.83115,0.51185,0.89931,0.000974225,0.000974225,0.00107938
4,1818.65,0.82255,0.51257,0.93999,0.96801,0.97937,0.99068,0.78242,0.81384,0.45972,0.88748,0.000962875,0.000962875,0.000962875
5,2298.67,0.81605,0.49295,0.94006,0.98129,0.95793,0.98707,0.78872,0.82329,0.46773,0.89661,0.0009505,0.0009505,0.0009505
6,2766.09,0.80649,0.4812,0.93641,0.96127,0.96378,0.98323,0.79474,0.79022,0.47099,0.89078,0.000938125,0.000938125,0.000938125
7,3308.62,0.79319,0.46387,0.92976,0.97363,0.98058,0.99243,0.80327,0.75123,0.42801,0.88054,0.00092575,0.00092575,0.00092575
8,3870.98,0.78424,0.45603,0.92939,0.98001,0.97411,0.99057,0.7884,0.79475,0.4349,0.8877,0.000913375,0.000913375,0.000913375
9,4431.86,0.76882,0.44472,0.92336,0.97894,0.97087,0.99163,0.79567,0.77425,0.41268,0.88411,0.000901,0.000901,0.000901
10,4886.17,0.76317,0.42929,0.92359,0.97726,0.97372,0.99164,0.78881,0.80836,0.41751,0.89198,0.000888625,0.000888625,0.000888625
11,5413.39,0.75129,0.42134,0.91508,0.97889,0.98058,0.99249,0.80645,0.72683,0.39524,0.87917,0.00087625,0.00087625,0.00087625
12,5956.21,0.74735,0.42175,0.91622,0.97722,0.98058,0.9884,0.80105,0.76724,0.39582,0.88522,0.000863875,0.000863875,0.000863875
13,6498.71,0.74888,0.41026,0.91488,0.97918,0.97411,0.98715,0.79217,0.7811,0.39472,0.88259,0.0008515,0.0008515,0.0008515
14,6947.06,0.74115,0.40837,0.91243,0.97826,0.98058,0.99257,0.79876,0.77113,0.39957,0.8828,0.000839125,0.000839125,0.000839125
15,7470.64,0.74148,0.40879,0.91153,0.98344,0.97411,0.99145,0.79728,0.76916,0.3797,0.8868,0.00082675,0.00082675,0.00082675
16,8013.94,0.72711,0.39643,0.90707,0.97234,0.98382,0.98712,0.79981,0.76164,0.38167,0.88233,0.000814375,0.000814375,0.000814375
17,8557.64,0.72924,0.39706,0.91354,0.97742,0.98059,0.99118,0.81386,0.73678,0.37955,0.87333,0.000802,0.000802,0.000802
18,9007.81,0.72319,0.3902,0.90578,0.97538,0.98382,0.99224,0.80689,0.75935,0.37399,0.87936,0.000789625,0.000789625,0.000789625
19,9532.47,0.71791,0.38749,0.90641,0.98052,0.98382,0.99249,0.79621,0.78162,0.37794,0.89411,0.00077725,0.00077725,0.00077725
20,10075.9,0.70523,0.37759,0.89961,0.98022,0.96248,0.9921,0.81595,0.74852,0.36769,0.88129,0.000764875,0.000764875,0.000764875
21,10618.6,0.70961,0.37663,0.90044,0.98952,0.95793,0.99298,0.80574,0.74676,0.37558,0.87653,0.0007525,0.0007525,0.0007525
22,11068.5,0.70539,0.37781,0.90532,0.97892,0.98706,0.99148,0.81499,0.73664,0.37177,0.87455,0.000740125,0.000740125,0.000740125
23,11592.6,0.70331,0.37458,0.899,0.98152,0.97735,0.99181,0.82066,0.72942,0.35637,0.86888,0.00072775,0.00072775,0.00072775
24,12136.4,0.69645,0.37483,0.90203,0.97559,0.98058,0.99069,0.80098,0.78563,0.35587,0.88413,0.000715375,0.000715375,0.000715375
